PROJECT NAME,APPLICANT NAME,ADDRESS NUMBER,ADDRESS NUMBER (HIGH),STREET DIRECTION,STREET NAME,STREET TYPE,WARD,COMMUNITY AREA,TIF DISTRICT,APPROVAL DATE,COMPLETION DATE,PROPERTY TYPE,PROJECT DESCRIPTION,INCENTIVE AMOUNT,TOTAL PROJECT COST,JOBS CREATED: ASPIRATIONAL,JOBS RETAINED: ASPIRATIONAL,LOCATION
Chicago Game and Gourmet,James Florek,700,,W,Root,St,11,New City,Stockyards Annex,9/25/2011,2/8/2012,Industrial,,83638,192228,5,7,POINT (-87.643736 41.81899)
Flat Enterprises Inc dba Alliance Paper & Food Service,Brian Flynn,913,,W,Randolph,St,27,Near West Side,Kinzie Industrial Corridor,,10/1/2002,Industrial,Façade / Roof / Sign replacement / Window &amp; Door Replacement,34884,70405.5,,,POINT (-87.65030200000001 41.884276)
Sofy's Beauty Salon,Irma Curiel,4102,,W,Armitage,Ave,35,Hermosa,Armitage/Pulaski,6/22/2012,1/31/2013,Commercial,,8381.25,11175,1,2,POINT (-87.729191 41.917155)
Upton's Naturals Co.,Daniel Staackmann,1826,,N,Lorel,Ave,37,Austin,Galewood/Armitage,11/27/2018,10/29/2019,Manufacturing,"Interior and exterior demolition; furnish and install a new steel wall and exterior paneling at disused entry; furnish and install a new steel wall, drywall, and FRP at north room area; frame out and drywall new walls at office, dock, and cooler areas; furnish and install new interior and exterior doors; furnish and install FRP in west-central room; furnish and install an industrial-grade walk-in cooler system (walls, ceilings, doors, lights, ventilation and refrigeration, electrical); permanent security system fixtures and wiring; and various soft costs.",142901.79,296028.57,15,50,POINT (-87.75947800000002 41.913841)
David Vondle,David Vondle,3009,,W,Fullerton,Ave,35,Logan Square,Fullerton/Milwaukee,,11/11/2008,Landlord,Green Roof,8175,10900,,,POINT (-87.702751 41.924736)
Golden Foods,Thomas Veikos,1036,,N,Kilbourn,Ave,37,Humboldt Park,Northwest Industrial Corridor,,10/18/2006,Industrial,Tuckpointing / Windows / Skilights / Freezer / HVAC,19500,39315,,,POINT (-87.738536 41.899996)
A Gomez Tires & Wheels,Alma Aldama,5245,,W,Grand,Ave,37,Belmont Cragin,Galewood/Armitage,6/19/2009,8/16/2010,Commercial,"parking lot, Plumbing, Additional work on side wall, installation of window, door hinges, add. Concrete, new catch basin, Electrical Work, roof, floor, windows, bathroom, sign, drywall, sprinkler system, roof, floor, windows, bathroom, sign, drywall, sprinkler system, roof, floor, windows, bathroom, sign, drywall, sprinkler system",92579.5,185159,,,POINT (-87.757683 41.91726)
Robbins Management LLC,Bruce Robbins,4401,,N,Ravenswood,Ave,47,Uptown,Ravenswood Industrial Corridor,2/14/2011,1/7/2011,Industrial,"Window Coverings, replacement of 116 windows",30350,60700,,,POINT (-87.673978 41.961809)
Carroll House X LLC/ Trope Publishing,Sam Landers,3020,,W,Carroll,Ave,27,East Garfield Park,Kinzie Industrial Corridor,6/11/2019,3/4/2021,General Commercial,"masonry work including the installation of new lintels and bricks as needed, creating openings for restroom and office entrances; and tuckpointing; installation of a new storefront and vestibule system including new doors and windows, and block windows along the rear; plumbing work including new underground piping and plumbing fixtures for the restrooms; electrical work including installation of new electrical panels, wiring, outlets, and switches; HVAC improvements including the installation of new hot water heaters, four (4) new roof top air conditioner units, and exhaust fans with associated connections; concrete work including repairs to the foundation as needed; and build-out of office spaces including new framing, drywall, installation of new ceramic tile flooring, and painting",100000,604361.55,6,6,POINT (-87.702942 41.887563)
Rangel Rangel & Associates,Patricia A Rangel,2332,,N,Milwaukee,Ave,35,Logan Square,Fullerton/Milwaukee,,2/4/2009,Commercial,Complete Renovation of second floor,50000,115547,,,POINT (-87.698426 41.92363)
Maria Gonzalez - Landlord,Maria Gonzalez,2618,,W,Division,St,26,West Town,Humboldt Park,9/17/2019,3/25/2020,Mixed-Use: Retail and Residential,"remove and replace the existing HVAC system including installation of one (1) new furnace, one (1) new condenser, two (2) new flushes, and one (1) 3.5 Ton RUUD; remove and replace garage door",15900,21200,14,6,POINT (-87.692624 41.902982)
The Toy Business,Ann Kienzle,3109,,W,Logan,Blvd,32,Logan Square,Fullerton/Milwaukee,7/27/2010,4/13/2011,Commercial,"flooring, lighting, hvac, moulding",13488.75,16350,4,0,POINT (-87.705216 41.928165)
4353 Management LLC,Claude Harb,4353,,N,Western,Ave,47,North Center,Western Avenue (South),12/4/2009,5/9/2012,Commercial,"windows, tuckpointing, masonry,, roofing, windows, roof, tuckpointing, masonry, windows, tuckpointing, masonry,,",39328.5,78657,3,,POINT (-87.688583 41.960745)
"Rfmetalworks, Inc.",Ross Fiersten,4426,,N,Ravenswood,Ave,47,Lincoln Square,Ravenswood Industrial Corridor,7/15/2011,8/7/2012,Commercial,"demolition, drywall, electrical, HVAC, lighting, flooring, installation of new doors and exits, paint and finishing",11921.25,17150,1,3,POINT (-87.674527 41.962141)
Harlan Gordon,Harlan Gordon,1455,,W,Hubbard,St,27,West Town,Kinzie Industrial Corridor,,2/24/2010,Landlord,"HVAC, electrical, brick work, roof, signage, lighting, basement seepage/ventilation, HVAC, electrical, brick work, roof, signage, lighting, basement seepage/ventilation",150000,398297.2,,,POINT (-87.664355 41.889921)
Business Link International Medical Supply,Herman Chigrin,7737,,S,Western,Ave,18,Ashburn,Greater Southwest Industrial Corridor (East),5/20/2014,4/24/2015,Commercial,"removal of old storefront system and installation of new thermal aluminum storefront frame with three (3) new doors including standard hardware (handles, locks, etc.), new 1"" clear insulated glass for doors and windows and glazing, roofing repairs including repairs to decking, new insulation, new flashings, new membrane, framing and new door for roof access, painting, masonry repairs to chimney and parapet walls, repairs to copings as needed; masonry repairs and tuckpointing on west, south, and east elevations including lintel replacements, new weep ropes, install new and replace glass block windows, new door frame and commercial metal door in masonry wall, limestone replacement and brick in windows in the rear, new gutters and downspouts; soffit repairs and electrical work related to newly installed storefront system",66247.5,95620,0,7,POINT (-87.682852 41.752555)
Constantinos Stavropoulos,Constantinos Stavropoulos,6928,,S,Pulaski,Rd,13,West Lawn,63rd/Pulaski,,12/21/2007,Landlord,"HVAC, roof, parking lot, landscaping, storefront, façade, plumbing, electrical, signs, sidewalks, walls",50000,238345,,,POINT (-87.722465 41.767026)
"Sauganash Stores, LLC",Theodor Wanland,4140,,W,Peterson,Ave,39,Forest Glen,Peterson/Pulaski,4/2/2019,2/14/2020,Retail,": furnish and install new storefront systems (frames, glass, doors) for 6001 N. Sauganash, 6005 N. Sauganash, 4140 W. Peterson, and 4142 W. Peterson only; furnish and install HVAC system improvements (new furnaces, new condensers and new evaporator coils) for the three (3) commercial units at 4140 W. Peterson, 4142 W. Peterson/6001 N. Sauganash, and 6007 N. Sauganash only; remove and replace the roofing system (excluding the liquor store roof portion)",97645.18,130193.57,4,9,POINT (-87.732602 41.990077)
"ABI Financial Services, Inc.",Marcin Kuhiwczak,4806,,N,Milwaukee,Ave,45,Jefferson Park,Jefferson Park,3/18/2012,8/8/2013,Commercial,", framing, new wall between waiting room and office with window, rough-in electrical, HVAC, installation of countertops and tile flooring in waiting room, balance of renovations: drywall, trim work, doors, cabinets, plumbing fixtures, bathroom renovations, electrical fixtures, tile work, painting",149992.5,199990,0,5,POINT (-87.761004 41.968226)
"Stellar Recognition, Inc. dba Sports Awards, Inc.",Roy Newton,5544,,W,Armstrong,Ave,45,Jefferson Park,Elston/Armstrong,1/26/2010,11/3/2010,Industrial,"the installation of a new roof, installation of new gutter edge, and flashing, remove vents, and close up openings and skylights, installation of a new AC unit in the existing server room and installation of a new overhead garage door, installation of new service doors, installation of new energy efficient lighting fixtures, installation of new exhaust fans, and landscaping",65370.15,134626.45,,,POINT (-87.766136 41.984407)
Kinzie Industrial Development,Joyce Shanahan,2033,,W,Fulton,Market,27,Near West Side,Kinzie Industrial Corridor,,2/4/2004,Commercial,Windows,50000,100000,,,
Irma Curiel,Irma Curiel,4106,,W,Armitage,Ave,35,Hermosa,Armitage/Pulaski,12/17/2013,1/8/2015,Commercial,"roofing; replacement of an I beam above first floor window system; tuck pointing on the western elevation, three new windows on second floor façade; new gutter and downspouts; masonry repairs to rear retaining walls; replacement of support columns in basement; replacement of basement door; reconstruction of the chimney; and scaffolding and permit expenses",23231.25,30975,0,3,POINT (-87.729256 41.917154000000004)
Rudy's Cyclery Inc,Rudolph H Kubica,5711,,W,Irving Park,Rd,38,Portage Park,West Irving Park,11/16/2012,4/23/2013,Commercial,,10299.75,13733,0,8,POINT (-87.769898 41.953159)
2016 Iowa LLC,Barry Ash,4735,,N,Damen,Ave,47,Lincoln Square,Western Avenue (North),,6/30/2009,Landlord,Complete Renovation of two commercial spaces,40000,124456.05,,,POINT (-87.67917 41.968002)
Flying Pan,Thomas B Kidwell,1509,,E,53rd,St,4,Hyde Park,53rd Street,,1/14/2008,Commercial,"lighting, windows, floor, buildout, demo, drywall, ceiling, bathroom,",49752.54,99505.07,,,POINT (-87.588746 41.799578)
Sunny 2000 Corp dba Lincoln Karaoke,Sunny H Park,5524,5526,N,Lincoln,Ave,40,Lincoln Square,Lincoln Avenue,5/24/2010,6/24/2011,Commercial,Build out; address range is 5524-5526 N Lincoln Ave.,150000,300000,,,POINT (-87.693408 41.982038)
Family Rescue,Joyce Coffee,8811,,S,Stony Island,Ave,8,Calumet,Stony Island/Burnside,5/5/2020,11/18/2021,Mixed-Use: Retail and Residential,"replace roof, tuckpoint, re-design and replace 2nd floor facade, replace soffits, lighting and building address numbers, repair drainage, grading, and crawl space ventilation, improve public way lawn, curb walkways, and sidewalks.",100000,221736.53,0,55,POINT (-87.585169 41.73491)
Wichita Packing Company,Mike Pierce,340,,N,Oakley,Blvd,27,Near West Side,Kinzie Industrial Corridor,9/11/2019,8/21/2020,Warehousing,"Installation for new walk-in cooler, including installation of two (2) new fan evaporators, lowering of three (3) existing fan evaporators, furnishing and installation new drain piping, supplying and installation one (1) new valve station, testing of all new systems; and cutting a door opening in the south wall and installation of a new door, installation of new metal panels, and concrete work.",80779.88,208519.2,6,57,POINT (-87.684155 41.888025)
Safa Moayyed - 2525 W. North Ave.,Safa Moayyed,2525,,W,North,Ave,1,West Town,Humboldt Park,9/24/2012,9/18/2013,Commercial,"removal of old sign, repairs to terracotta stones in entryway, masonry and tuckpointing work, and replacement of steel lintel, roofing work, installation of new awnings and exterior lighting, and installation of security camera system",96631,149815.5,4,3,POINT (-87.690626 41.91026200000001)
Information Technical Institute,Jenita Julian,4414,,N,Clark,St,47,Uptown,Clark/Montrose,,2/3/2004,Commercial,Signage / Roof / HVAC,34726.06,68000,,,POINT (-87.666062 41.962186)
Joel Hall Dancers & Center,Joseph L. Hall,5965,,N,Clark,St,48,Edgewater,Clark/Ridge,10/30/2014,9/24/2015,Commercial,"installation of aluminum storefront doors to be used as a barrier for extreme weather, replace base sink and faucet, install backsplash, remodeling of the bathroom to include replacement of damaged drywall, add cabinet shelving, replace glass window, lighting, install diaper stations, install electric hand dryers, painting and plaster wall repairs, electrical work to find the short circuit, remove light or disconnect circuit over drop ceiling, replace HVAC piping and reducers, and installation of ceiling fans.",15877.5,21170,5,35,POINT (-87.669909 41.99004)
"CLCET, Inc.",Edward Grossman,2938,,E,91st,St,10,South Chicago,Commercial Avenue,,8/17/2011,Commercial,"Roof, tuckpointing,",112500,179000,,,POINT (-87.552337 41.730064)
"Edge of Sweetness, LLC",Kathleen Merrill,6034,,N,Broadway,St,48,Edgewater,Hollywood/Sheridan,11/29/2016,6/22/2017,Commercial,"buildout and building rehabilitation work for a bakery and café space: furnish and install new storefront system on front façade and south elevation including new frames, glass windows, doors, and all hardware; rough and finish plumbing work including new cast iron pipes and fittings, install grease trap, shut off valves, a water heater, and plumbing fixtures for kitchen and restrooms; electrical work including install and distribute new power and install light fixtures; install new walk-in cooler/freezer system in kitchen area; rough and finish carpentry work including new framing, drywall, acoustical ceilings, and FRP material for café area, kitchen, and restrooms; painting and finishing work",88948,166463.66,7,0,POINT (-87.660325 41.991968)
Ana Maria Saenz,Ana Maria Saenz,8944,,S,Commercial,Ave,10,South Chicago,Commercial Avenue,11/24/2015,3/27/2017,Commercial,"demolition, framing, new drywall, installation of doors, ceramic tile and laminate flooring, restroom build-out, plumbing work including new 1 ½’  water service, piping, insulation, clean out existing waste lines, installation of a water booster pump and water heater,  HVAC work including a new furnace, air condensers, new duct work, humidifier, registers, and exhaust fans, electrical work including installation of one 400 amp main distribution panel, two 200 amp meters, piping, wires, outlets, switches,  cover panels, and new light fixtures, painting and finishing work throughout, build-out of water closets, installation of sink, tuck-pointing, power-washing, installation of window sills, masonry including blocking of unnecessary openings, new gas lines and meters.",60000,95000,4,0,POINT (-87.551322 41.732409)
Seward & Szczygiel P C,Ed & Renata Seward,4754,4756,N,Milwaukee,Ave,45,Portage Park,Jefferson Park,7/19/2012,7/15/2013,Commercial,"HVAC system, electrical work, lighting, and exit signage for 4754 N. Milwaukee.  Address range is 4754-6 N. Milwaukee Ave.",17122.5,22830,0,0,POINT (-87.759831 41.966863)
River North Storage,William Stancel,1722,,W,Carroll,Ave,27,Near West Side,Kinzie Industrial Corridor,,12/5/2008,Commercial,"masonry repair, roofing repair",2350,4700,,,POINT (-87.670211 41.887761)
Seeds of Joy Daycare,Derek Wayne Davis,850,,W,Eastwood,Ave,46,Uptown,Wilson Yard,,8/14/2013,Commercial,", flooring, plumbing, and kitchen rehab to include cabinets and countertops",20962.5,27950,13,11,POINT (-87.651646 41.966424)
TRE Kronor Restaurant,Lawrence Anderson,3258,,W,Foster,Ave,39,North Park,Lawrence/Kedzie,,2/27/2007,Commercial,"Roof, Windows, Exit, Awning, HVAC",50000,107500,,,POINT (-87.710933 41.97572)
Japanese American Service Committee of Chicago,Michael Takada,4427,,N,Clark,St,46,Uptown,Clark/Montrose,4/15/2016,12/12/2016,Commercial,"complete removal and replacement of approx. 8,600 sq. ft. of the roofing system at 4427 N. Clark (demolition; replace damaged decking as needed; furnish and install new insulation; furnish and install new EPDM roofing membrane; furnish and install flashings and reinstall clay copings at parapets); chimney restoration (grind out and re-point masonry joints), masonry repairs to the Clark Street/west façade elevation (grind out/demolish existing masonry as needed; install 12 new window lintels and 1 new door lintel; tuck point the entire facade elevation as needed; rebuild approx. 50' x 3.5' sections of displaced masonry at parapet of façade elevation); power washing of facade elevation; chimney restoration (grind out and re-point masonry joints); associated scaffolding expenses; and removal and replacement of four (4) storefront doors, glass, and frames",100000,134621,0,10,POINT (-87.66606 41.962179)
Justin Blair & Company,Marvin Bearak,4500,,W,31st,St,22,South Lawndale,Little Village,1/21/2015,10/16/2015,Industrial,demolition of existing roofing system and installation of new roofing system for 4500 W. 31st St. including repairs to roof drains and installation of new flashings,68149,370830,1,33,POINT (-87.737166 41.837099)
Annapurna Fast Food,Pravin Patel,2608,,W,Devon,Ave,50,West Ridge,Devon/Western,2/22/2010,3/4/2011,Commercial,Complete Renovation,123300,350000,,,POINT (-87.695215 41.997632)
"Chicago's Pulse CPR Training, Inc.",Junellen Eastman-Johnson,3209,3211,W,111th,St,19,Mount Greenwood,111th/Kedzie,9/13/2011,11/29/2011,Commercial,Address range is 3209-3211 W 111th St.,25863.75,34485,8,4,POINT (-87.701151 41.691559)
Scott Spector Chicago Music Garage,Scott Spector Chicago Music Garage,347,,N,Loomis,St,27,Near West Side,Kinzie Industrial Corridor,,5/24/2006,Commercial,Complete Rehab of 347 N. Loomis,50000,120000,,,POINT (-87.662526 41.887582)
Royal Envelope Corporation,Michael Pusatera,4114,,S,Peoria,St,11,New City,Stockyards Annex,7/29/2014,2/9/2015,Industrial,furnish and install fifteen (15) new window systems,42640,85280,0,82,POINT (-87.648803 41.819611)
Wheelwright Inc,Dennis Spada Sr,3424,,W,111th,St,19,Mount Greenwood,111th/Kedzie,,11/25/2009,Commercial,fencing,1689.5,3379,,,POINT (-87.706612 41.691479)
That's Wassup Bakery and Café,Tanika Echols,2132,,S,Michigan,Ave,2,Near South Side,Michigan/Cermak,2/2/2010,10/22/2010,Commercial,"new signage, convection oven, tile, hood ventilation, sinks, counters, plumbing, drywall, electrical, emergency lights, shelves, new signage, convection oven, tile, hood ventilation, sinks, counters, plumbing, drywall, electrical, emergency lights, shelves, Hvac, Plumbing",49900,99800,,,POINT (-87.623843 41.853236)
"Luxe Bridal Rack, LLC",Maria Rubino,2165,,N,Milwaukee,Ave,1,Logan Square,Fullerton/Milwaukee,6/21/2016,4/26/2017,Commercial,"demolish existing walls, ceilings, flooring, and restroom; new rough carpentry and metal framing for retail store layout with ADA-compliant restroom and new drywall throughout, and structural support for basement; plumbing work for restroom including fixtures, a mop sink in the furnace closet, and HVAC hookups; electrical work including new piping and wiring, new light fixtures, and hook up for commercial grade exhaust fan in restroom; HVAC work including install new gas furnace and AC unit with new ductwork; storefront improvements to enlarge front windows by lowering sills and installing new windows and front entry door; and painting and finishing work",50000,110772,2,0,POINT (-87.693506 41.920583)
Churchill Associates,Terrence Dowd,350,,N,Ogden,Ave,27,Near West Side,Kinzie Industrial Corridor,3/27/2009,7/10/2010,Landlord,"windows, repair mortar, brickwork, tuck-pointing, and concret spandrels, emergency exit doors, windows, repair mortar, brickwork, tuck-pointing, and concret spandrels, emergency exit doors",150000,590329.8,,,POINT (-87.66136 41.888025)
POW! Mixed Martial Arts School Inc,Katalin Rodriguez-Ogren,950,,W,Washington,St,27,Near West Side,Kinzie Industrial Corridor,,6/19/2008,Commercial,"Expansion, remodeling offices, Expansion, remodeling offices",49223.08,98446.15,,,POINT (-87.65126000000001 41.883109)
Beverly Area Planning Association,Matthew Walsh,11107,,S,Longwood,Dr,19,McKinley Park,Western/Rock Island,1/8/2013,2/21/2014,Commercial,"new signage, installation of new side entry door with new frame, and installation of new HVAC rooftop unit, removing old parking lot pavement and installing a new parking lot with permeable pavement, landscaping, fencing and trash enclosure, storm water sewer improvements, curbs, gutters, and striping",100000,189222.48,0,0,POINT (-87.672001 41.691587)
Nail Works!,Thuy Thi Nguyen,1738,,W,119th,St,34,Morgan Park,119th & I-57,7/9/2009,12/17/2009,Commercial,"sign, flooring, lighting, plumbing, electrical, exhaust system, sprinkler system, security, water heater, carpentry, fire alarm, trims",45000,90000,,,POINT (-87.665034 41.677517)
Paris Drapery,Paris Drapery,2846,,N,Milwaukee,Ave,35,Avondale,Fullerton/Milwaukee,,4/6/2004,Commercial,Roof,21435,28580,,,POINT (-87.71376 41.932963)
Mabes Deli Incorporated,Derrick Rowe,312,,E,75th,St,6,Greater Grand Crossing,Retail Thrive Zone - Chatham (75th),1/2/2018,7/19/2018,Commercial,"frame out partition walls for restroom, kitchen, and counter areas; furnish and install FRP paneling; furnish and install two (2) interior doors; remove and replace acoustical ceiling grid; drywall installation at walls and ceiling; relocate existing plumbing for reconfigured restroom facility; furnish and supply, drain, and vent plumbing lines, mop sink, and bath fixtures; furnish and install a new hot water heater; furnish and install a new HVAC unit and duct work; furnish and install electrical outlets, lights, and switches; furnish and install laminate counter; furnish and install new flooring for commercial space; masonry patching at exterior; and architectural fees",78913.73,110830.74,6,0,POINT (-87.617648 41.75835)
Façade Rebate Project,Façade Rebate Project,1763,,W,95th,St,19,Beverly,95th/Western,,3/29/2011,,,1703.9,0,,,POINT (-87.667141 41.721075)
Diana Lopez-Obaldo,Diana Lopez-Obaldo,2525,,W,Division,St,26,West Town,Humboldt Park,1/6/2012,1/23/2013,Commercial,"Repair of lintel, repair exterior walls, repair rear porch",48731.25,64975,5,5,POINT (-87.690482 41.903007)
Automatic Anodizing,Scott Penner,3340,,W,Newport,Ave,35,Avondale,Kennedy/Kimball,3/18/2013,9/27/2013,Industrial,"removal of old and installation of new high efficiency, high pressure, steam boiler with associated HVAC and electrical work",96709,193418,0,25,POINT (-87.711575 41.943546)
Vernon Spells & Latoya Hudson-Spells,Vernon Spells & Latoya Hudson-Spells,8236,,S,Cottage Grove,Ave,8,Chatham,87th/Cottage Grove,9/9/2014,8/4/2015,Commercial,"a complete tear off of the roof and complete re-roofing; installation of gutters, down spouts, insulation and coping tiles; replacement of concrete apron at front entrance; replacement of transom glass above front entry doors; tuck-pointing; painting of steel lintels and front entrance; wall framing; installation of drywall, doors, and acoustical ceiling; 200 amp electrical system including lighting; HVAC system and ductwork; build-out of three bathrooms, rough and finish plumbing",100000,157275.52,12,0,POINT (-87.605146 41.744684)
"Katz & Miller LLP, now known as Katz, LLC",Harold Katz,2723,,W,Touhy,Ave,50,West Ridge,Touhy/Western,7/3/2012,1/14/2014,Commercial,"complete build-out including building systems (HVAC, plumbing, electrical), framing, drywall, flooring, insulation, painting, drop ceiling, bathrooms, and kitchen build-out, complete build-out including building systems (HVAC, plumbing, electrical), framing, drywall, flooring, insulation, painting, drop ceiling, bathrooms, and kitchen build-out",150000,359692,4,6,POINT (-87.698851 42.012122)
Laystrom Manufacturing Co,Robert Laystrom,3900,,W,Palmer,St,35,Logan Square,Pulaski Corridor,7/1/2011,3/30/2012,Industrial,"Office roof, skylight, ventilation, parapet walls",66497.2,156685,10,10,POINT (-87.725081 41.920862)
"Felines, Inc.",Abby Smith,6379,,N,Paulina,Ave,40,Edgewater,Devon/Western,7/23/2012,5/16/2013,Commercial,"rough carpentry and framing including stairwell construction, finish carpentry, flooring, and trim work, drywall and insulation, exterior doors and windows, installation of skylights, and installation of awning, cedar fencing, roofing, down spouts, rough electrical and plumbing, plumbing fixtures, epoxy flooring, sprinkler systems, HVAC, concrete, exterior doors, painting and finishing, a LULA elevator and finish carpentry",100000,237984.21,9,5,POINT (-87.671992 41.997925)
Gus Berthold Electric Co,Roderick Berthold,1900,,W,Carroll,Ave,27,Near West Side,Kinzie Industrial Corridor,10/20/2009,5/14/2010,Industrial,"Roof, windows, lighting, Roof, windows, lighting",145980,288950,,,POINT (-87.674856 41.887706)
L. Robinson & Associates,Lamont Robinson,5048,5050,S,Indiana,Ave,3,Grand Boulevard,47th/King,3/15/2016,11/6/2017,Commercial,"acquisition of 5050 S. Indiana Ave. for the purpose of expanding an existing insurance agency which currently occupies 5048 S. Indiana Ave., masonry work to create interior opening between 5048 and 5050 S. Indiana Ave., new steel lintels for structural support, and a new concrete slab at front entry; HVAC work including replacement of furnace and  AC unit; installation of a new exterior fire rated pedestrian door and removal of an exterior rolling steel shudder; plumbing work including new fixtures for restroom and hot water heater; replace lighting with new T12 LED fixtures; flooring work in 5050 S. Indiana to connect and match with 5048 S. Indiana including installation, sanding, staining, and sealing with polyurethane of 750 SF of maple flooring; new drywall as needed, painting, and finishing work; soft costs including structural engineering and permit fees; and the balance of eligible property acquisition costs.  Address range is 5048-50 S. Indiana Ave.",100000,151542,2,3,POINT (-87.62104 41.80233900000001)
North Park Auto,Zuheir Brikha,5033,,N,Kedzie,Ave,33,Albany Park,Lawrence/Kedzie,,10/25/2007,Commercial,"Roof, Fence, Parking Lot, HVAC, Storefront, Window, Doors, Sign",2450,4900,,,POINT (-87.708625 41.973066)
"Triton Industries, Inc.",Brent Wortell,1020,,N,Kolmar,Ave,37,Humboldt Park,Northwest Industrial Corridor,9/4/2018,4/29/2019,Industrial,"masonry work including rebuilding the parapet walls, replacement of broken bricks as needed, replacement of lintels and damaged limestone, installation of vinyl flooring and baseboards for approx. 3000 sq ft area.",68309.8,136619.59,5,60,POINT (-87.739821 41.899523)
Bernacki & Associates Inc,Stan Bernacki,424,,N,Oakley,Blvd,27,West Town,Kinzie Industrial Corridor,,4/24/2007,Industrial,"Repair loading dock, replace windows, HVAC, upgrade sprinkler system",31997.5,100000,,,POINT (-87.684199 41.889356)
3256 Pizza Bravo,Amra Alieawovic,3256,,W,Lawrence,Ave,39,Albany Park,Lawrence/Kedzie,,12/21/2006,Commercial,"Storefront, glass, signage, remove gates, security system, entrance, lighting, ceiling",50000,69550,,,POINT (-87.71069 41.968453)
Paul Tsakiris,Paul Tsakiris,4425,,N,Milwaukee,Ave,45,Portage Park,Jefferson Park,,7/10/2009,Landlord,"picture window, paving, ROOF, HVAC",148115,296230,,,POINT (-87.754998 41.961289)
Secure Eco Shred,Kristina Kalapos,4455,,N,Elston,Ave,39,Albany Park,Lawrence/Pulaski,,10/29/2008,Commercial,awnings/signage,2950,5900,,,POINT (-87.731182 41.961959)
"Las Tablas on Irving, LLC",Soraya Suarez-Campos,4918,4920,W,Irving park,Rd,45,Portage Park,Portage Park,8/14/2012,10/29/2012,Commercial,Address range is 4918-4920 W Irving Park Rd.,150000,230000,7,15,POINT (-87.750672 41.953395)
Dae Y. Kim,Dae Y. Kim,1937,,E,79th,St,8,South Chicago,Avalon Park/South Shore,6/3/2015,10/3/2016,Commercial,"interior and exterior renovations to vacant commercial space at 1937 E. 79th including a new storefront system, install new drop ceilings, drywall and vinyl title flooring throughout space, new plubming fixtures for restroom, new light fixtures, and install five (5) new HVAC roof top units. Located at 1937 and 1941 E 79th St.
, interior and exterior renovations to vacant commercial space at 1937 E. 79th including a new storefront system, install new drop ceilings, drywall and vinyl title flooring throughout space, new plubming fixtures for restroom, new light fixtures, and install five (5) new HVAC roof top units",91875,122500,2,5,POINT (-87.576886 41.751595)
"Jordan Mozer & Associates, Ltd",Jordan Mozer,320,,N,Laflin,St,27,Near West Side,Kinzie Industrial Corridor,4/16/2019,3/9/2021,General Commercial,"masonry work including tuckpointing along all elevations and throughout the interior walls, repairs to the parapet walls as needed, and the application of a water protection sealant; the installation of four (4) new steel canopies located above the entry doors and loading dock area; installation of a storefront vestibule including new windows and doors; plumbing work including the installation of three (3) hand sinks for the mechanical room and service area, new floor drains in the basement and restroom with connections to the existing piping system, and repairs to the main sewer connection as needed; HVAC improvements including the installation of new exhaust fans in the restroom and service area along with associated ductwork, and a new commercial exhaust hood for the kitchen area; electrical work including the installation of new track lighting throughout with new switches, outlets, and updates to electrical panels as needed, and new sconces lights along the exterior; installation of new insulation and drywall in the work area; build-out of an office space including new framing, walls, and ceiling; weather stripping along all exterior doors and windows; concrete repairs including patching along the floor drain located in the basement; new flooring including the application of epoxy along the loading dock doors; installation of four (4) security cameras; and painting",100000,137091.97,3,6,POINT (-87.664319 41.88717)
Damron Corp,Ronald E Damper,4433,,W,Ohio,St,28,Humboldt Park,Northwest Industrial Corridor,9/23/2009,3/1/2010,Industrial,raw material production efficiency system,59675,154825,,,POINT (-87.736757 41.891406)
La Villa Restaurant Inc,Christina Petrancosta,3632,3638,N,Pulaski,Rd,45,Irving Park,Avondale,2/28/2017,8/17/2018,Commercial,"replace existing siding on mansard-style roof system on front elevation with new composite siding, new soffit, and trim boards; electrical work including new soffit lighting, lighting for signage, and six (6) new LED wall packs, removal of YORK roof-top unit, installation of 1 new TRANE refrigerant and 1 new economizer for roof-top unit and installation of new curb for roof top unit, rewired new units and thermostat. Address range is 3632-38 N. Pulaski Rd.",16125,66500,3,45,POINT (-87.727424 41.947474)
"The SMB Help Desk, Inc.",Marvin Korves,4147,,N,Ravenswood,Ave,47,Lake View,Ravenswood Industrial Corridor,9/17/2014,5/28/2015,Commercial,demolish old windows and install fourteen (14) replacement windows at 4147 N. Ravenswood #100,8934.55,11912.73,0,19,POINT (-87.673852 41.956934)
AA US Carpet,Tina Lalic,4651,,N,Milwaukee,Ave,45,Portage Park,Jefferson Park,,5/28/2003,Commercial,Tuckpoint-Masonry / Electrical Rehab / Interior Renovation / Roof Renovation / Window and Door Replacement,24486.68,75000,,,POINT (-87.75835200000002 41.965149)
